tier_name,country_latitude,count,used,country_longitude,pool_name,capacity,city_latitude,city_longitude,subscribed,city_name,service_type,device_serial,mgmt_cost,country_name,used_cost,timestamp,datacenter_name
Service-Class-0,null,1,1.8149486592E10,null,410666-5,2.0611334144E10,null,null,2.0317104128E10,Melbourne,BLOCK,410666,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,2.6198786048E11,null,410666-50,2.75347341312E11,null,null,2.6845380608E11,Melbourne,BLOCK,410666,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,2.49717751808E11,null,410666-51,2.75347341312E11,null,null,2.73822826496E11,Melbourne,BLOCK,410666,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,9.012248576E10,null,410666-52,2.75347341312E11,null,null,1.39596496896E11,Melbourne,BLOCK,410666,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,2.2088368128E11,null,410666-53,2.75347341312E11,null,null,2.6845380608E11,Melbourne,BLOCK,410666,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,9.5219662848E10,null,423302-59,2.40812802048E11,null,null,1.76110911488E11,Melbourne,BLOCK,423302,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0,null,1,1.0143819776E10,null,440909-5,2.0611334144E10,null,null,1.1774564352E10,Melbourne,BLOCK,440909,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,1.6565460992E11,null,440909-50,2.75215220736E11,null,null,2.14763044864E11,Melbourne,BLOCK,440909,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,1.57240344576E11,null,440909-51,2.75215220736E11,null,null,1.61072283648E11,Melbourne,BLOCK,440909,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,1.7561624576E11,null,440909-52,2.75347341312E11,null,null,2.14763569152E11,Melbourne,BLOCK,440909,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-5,null,1,2.03282694144E11,null,440909-53,2.75347341312E11,null,null,2.6845380608E11,Melbourne,BLOCK,440909,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
H-Journal,null,1,1.580204E8,null,50441-99,1.0127461376E10,null,null,1.1178448896E10,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0,null,1,2.2380386304E10,null,50441-0,4.1226969088E10,null,null,3.3878966272E10,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0,null,1,6.876875776E9,null,50441-5,5.4735982592E10,null,null,2.5378789376E10,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,50441-100,3.43156992E9,null,null,2.627836416E9,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,50441-101,3.43156992E9,null,null,2.207567104E9,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,50441-109,3.43156992E9,null,null,2.627836416E9,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,2.3950450688E11,null,50441-10,4.04034879488E11,null,null,3.77637208064E11,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,1.64777115648E11,null,50441-11,3.93727082496E11,null,null,2.99867144192E11,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,5.4769430528E10,null,50441-20,1.0829094912E11,null,null,9.0156982272E10,Melbourne,BLOCK,50441,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
